,id,x_intercept,y_intercept,utility,alpha,rho,opt_x,opt_y,noisy_x,noisy_y,noise_type,noise_param,noise_free_disposal
0,1,400.0,2000.0,ces,0.9883498833490711,-0.06813186860299644,394.43042687749005,27.847865612549754,394.78976794035304,26.051160298234837,jittering,50,False
1,1,420.0,1680.0,ces,0.9883498833490711,-0.06813186860299644,414.069298929815,23.722804280740093,420.0,0.0,jittering,50,False
2,1,470.0,1410.0,ces,0.9883498833490711,-0.06813186860299644,463.2421213566212,20.273635930136322,453.0236173532199,50.92914794034037,jittering,50,False
3,1,500.0,1250.0,ces,0.9883498833490711,-0.06813186860299644,492.7278948123009,18.180262969247707,500.0,0.0,jittering,50,False
4,1,510.0,1020.0,ces,0.9883498833490711,-0.06813186860299644,502.4776889391008,15.044622121798398,507.61275322377907,4.774493552441825,jittering,50,False
5,1,560.0,800.0,ces,0.9883498833490711,-0.06813186860299644,551.563717397986,12.051832288591413,560.0,0.0,jittering,50,False
6,1,600.0,750.0,ces,0.9883498833490711,-0.06813186860299644,590.8849835343387,11.39377058207657,585.9040843395535,17.619894575558103,jittering,50,False
7,1,610.0,610.0,ces,0.9883498833490711,-0.06813186860299644,600.6022697201447,9.397730279855296,610.0,0.0,jittering,50,False
8,1,630.0,420.0,ces,0.9883498833490711,-0.06813186860299644,620.0438694265941,6.637420382270572,630.0,0.0,jittering,50,False
9,1,640.0,320.0,ces,0.9883498833490711,-0.06813186860299644,629.7015405111247,5.149229744437662,619.8727584538716,10.063620773064212,jittering,50,False
10,1,660.0,220.0,ces,0.9883498833490711,-0.06813186860299644,649.1060513053453,3.6313162315515606,559.0195744157794,33.660141861406856,jittering,50,False
11,1,680.0,170.0,ces,0.9883498833490711,-0.06813186860299644,668.5715611136822,2.8571097215794623,664.7530624112837,3.8117343971790696,jittering,50,False
12,2,400.0,2000.0,ces,0.6900978675098088,0.39778347373251677,226.4735408519727,867.6322957401364,218.9158058189422,905.420970905289,jittering,50,False
13,2,420.0,1680.0,ces,0.6900978675098088,0.39778347373251677,252.8285397029878,668.6858411880488,258.77827086446086,644.8869165421564,jittering,50,False
14,2,470.0,1410.0,ces,0.6900978675098088,0.39778347373251677,303.8577011467903,498.4268965596291,322.42898032498897,442.7130590250331,jittering,50,False
15,2,500.0,1250.0,ces,0.6900978675098088,0.39778347373251677,336.7594656234772,408.101335941307,330.54760920122123,423.63097699694686,jittering,50,False
16,2,510.0,1020.0,ces,0.6900978675098088,0.39778347373251677,359.5834322184603,300.8331355630794,366.17213527244274,287.65572945511445,jittering,50,False
17,2,560.0,800.0,ces,0.6900978675098088,0.39778347373251677,419.4928862754648,200.72444817790745,378.3563851108957,259.49087841300616,jittering,50,False
18,2,600.0,750.0,ces,0.6900978675098088,0.39778347373251677,459.183280213006,176.02089973374248,500.14163911929063,124.8229511008867,jittering,50,False
19,2,610.0,610.0,ces,0.6900978675098088,0.39778347373251677,482.3505981726556,127.64940182734438,491.99722773597904,118.00277226402096,jittering,50,False
20,2,630.0,420.0,ces,0.6900978675098088,0.39778347373251677,523.9253904128353,70.71640639144312,530.0049935004758,66.66333766634943,jittering,50,False
21,2,640.0,320.0,ces,0.6900978675098088,0.39778347373251677,548.2158823564698,45.89205882176509,526.5148482036258,56.74257589818713,jittering,50,False
22,2,660.0,220.0,ces,0.6900978675098088,0.39778347373251677,585.0617321789774,24.979422607007525,629.2561166697668,10.247961110077737,jittering,50,False
